Date,close
2024-12-18,107.09
2024-12-19,107.01
2024-12-20,107.01
2024-12-23,106.95
2024-12-24,106.95
2024-12-26,106.83
2024-12-27,106.77
2024-12-30,106.83
2025-01-02,106.94
2025-01-03,107.19
2025-01-06,107.2
2025-01-07,107.05
2025-01-08,107.11
2025-01-09,107.15
2025-01-10,107.2
2025-01-13,106.97
2025-01-14,106.65
2025-01-15,106.74
2025-01-16,106.61
2025-01-17,106.79
2025-01-20,106.96
2025-01-21,106.88
2025-01-22,107.05
2025-01-23,107
2025-01-24,107.05
2025-01-31,107.02
2025-02-03,107.26
2025-02-04,107.26
2025-02-05,106.98
2025-02-06,107
2025-02-07,106.98
2025-02-10,106.81
2025-02-11,106.84
2025-02-12,106.81
2025-02-13,106.73
2025-02-14,106.77
2025-02-17,106.84
2025-02-18,106.78
2025-02-19,106.72
2025-02-20,106.76
2025-02-21,106.77
2025-02-24,106.8
2025-02-25,106.79
2025-02-26,107.18
2025-02-27,107.18
2025-02-28,107.2
2025-03-04,107.43
2025-03-05,107.15
2025-03-06,106.95
2025-03-07,106.95
2025-03-10,106.91
2025-03-11,106.97
2025-03-12,107.03
2025-03-13,106.96
2025-03-14,106.89
2025-03-17,106.85
2025-03-18,106.84
2025-03-19,106.79
2025-03-20,106.83
2025-03-21,106.84
2025-03-24,106.82
2025-03-25,106.79
2025-03-26,106.74
2025-03-27,106.75
2025-03-28,106.75
2025-03-31,106.97
2025-04-01,106.92
2025-04-02,106.91
2025-04-03,107.03
2025-04-04,107.29
2025-04-07,107.48
2025-04-08,107.42
2025-04-09,107.36
2025-04-10,107.33
2025-04-11,107.44
2025-04-14,107.42
2025-04-15,107.45
2025-04-16,107.62
2025-04-17,107.49
2025-04-18,107.61
2025-04-21,107.72
2025-04-22,107.7
2025-04-23,107.68
2025-04-24,107.63
2025-04-25,107.76
2025-04-28,107.73
2025-04-29,107.72
2025-04-30,107.86
2025-05-02,107.8
2025-05-07,107.9
2025-05-08,107.81
2025-05-09,107.66
2025-05-12,107.66
2025-05-13,107.5
2025-05-14,107.55
2025-05-15,107.55
2025-05-16,107.66
2025-05-19,107.49
2025-05-20,107.57
2025-05-21,107.53
2025-05-22,107.58
2025-05-23,107.54
2025-05-26,107.5
2025-05-27,107.51
